 DEPTH          GR                SP              CAL            LLD             LLS             AC                DEN           CNL
2558.875    120.8764     -105.6510    22.7450     221.2780     240.488      218.10801     2.4560       16.4070   
2559.000    116.2996     -106.0150    22.7560     225.3375     242.842      218.83100     2.4580       16.7730   
2559.125    117.0037     -106.5110    22.7560     227.4297     242.789      219.70806     2.4540       17.0130   
2559.250    122.7541     -107.2250    22.7680     224.2596     237.346      220.46200     2.4510       17.1080   
2559.375    128.7393     -108.1760    22.7560     216.8706     227.190      220.78507     2.4540       17.0880   
2559.500    128.1525     -109.3370    22.7560     212.7710     221.431      220.36902     2.4550       16.8460   
2559.625    118.8814     -110.6700    22.7560     216.8049     224.482      219.01504     2.4610       16.2080   
2559.750    104.2119     -112.1490    22.7680     230.4072     237.410      216.38509     2.4560       15.2550   
2559.875    91.6549      -113.7290    22.7560     257.4237     262.685      213.13801     2.4450       14.3750   
2560.000    83.3226      -115.3580    22.7450     286.6633     288.778      210.32308     2.4400       13.7070   
2560.125    80.9755      -116.9760    22.7450     313.6463     310.542      209.04605     2.4330       13.4180   
2560.250    76.8680      -118.5210    22.7450     315.8448     308.259      209.95402     2.4250       13.6790   
2560.375    75.1077      -119.9210    22.7560     292.3152     281.126      213.32303     2.4140       14.4560   
2560.500    73.6994      -121.1420    22.7680     262.4429     250.341      218.03101     2.3990       15.1790   
2560.625    73.5821      -122.1870    22.7800     230.5569     219.507      222.66203     2.3850       15.5670   
2560.750    75.3424      -123.0620    22.7560     211.4728     201.816      226.04604     2.3680       15.8470   
2560.875    78.1589      -123.7840    22.7560     201.7181     192.914      227.87705     2.3650       15.7160   
2561.000    81.9143      -124.3870    22.7560     202.0887     192.947      228.16900     2.3630       15.4160   
2561.125    84.4961      -124.9000    22.7800     208.6328     198.003      227.61507     2.3620       15.1240   
2561.250    86.6086      -125.3310    22.7560     216.2327     203.996      226.87705     2.3650       15.0250   
2561.375    87.8995      -125.6630    22.7560     224.1374     209.839      226.30803     2.3700       14.7970   
2561.500    90.5987      -125.8770    22.7450     229.1140     212.541      225.69208     2.3800       14.6560   
2561.625    92.2416      -125.9510    22.7450     236.0182     215.680      224.67706     2.3900       14.4940   
2561.750    93.6499      -125.8940    22.7210     247.9618     223.120      222.86108     2.3970       14.3570   
2561.875    93.2978      -125.7350    22.7330     272.0304     240.176      220.27707     2.4030       14.2460   
2562.000    91.4201      -125.5430    22.7330     300.2544     260.857      217.55406     2.4140       14.2340   
2562.125    90.8334      -125.3940    22.7330     339.8611     288.463      215.30804     2.4210       14.2220   
2562.250    88.3689      -125.3660    22.7330     377.8237     311.603      214.00000     2.4280       14.1160   
2562.375    86.6086      -125.4750    22.7560     415.5637     330.788      214.03101     2.4330       14.0360   
2562.500    83.4399      -125.6930    22.7560     429.5668     334.781      215.18507     2.4280       13.9580   
2562.625    80.0366      -125.9470    22.7450     422.3227     325.068      216.78503     2.4210       13.8370   
2562.750    77.9242      -126.1520    22.7330     405.8321     310.376      218.41501     2.4100       13.8160   
